Usia,qx
0,524
1,53
2,42
3,34
4,29
5,26
6,23
7,21
8,20
9,20
10,19
11,19
12,19
13,2
14,23
15,27
16,31
17,37
18,43
19,47
20,49
21,49
22,49
23,49
24,5
25,52
26,55
27,6
28,65
29,7
30,75
31,81
32,87
33,93
34,99
35,107
36,116
37,127
38,139
39,155
40,173
41,193
42,216
43,241
44,27
45,302
46,338
47,377
48,418
49,461
50,508
51,556
52,609
53,667
54,727
55,789
56,847
57,898
58,939
59,971
60,999
61,"1,024"
62,"1,046"
63,"1,071"
64,"1,104"
65,"1,146"
66,"1,199"
67,126
68,"1,329"
69,"1,405"
70,"1,485"
71,"1,574"
72,167
73,"1,777"
74,"1,895"
75,"2,026"
76,"2,369"
77,"2,738"
78,313
79,"3,693"
80,"4,518"
81,"5,527"
82,"6,732"
83,"8,228"
84,"9,478"
85,"10,465"
86,"11,533"
87,"12,698"
88,"13,947"
89,"15,271"
90,"16,659"
91,"17,991"
92,"1,939"
93,"20,874"
94,"22,451"
95,"24,126"
96,"25,715"
97,"27,419"
98,"29,249"
99,"31,215"
100,"33,331"
101,"35,163"
102,"37,132"
103,"3,925"
104,"41,527"
105,"43,973"
106,"46,602"
107,"49,429"
108,"52,467"
109,"55,733"
110,"59,244"
111,1
